timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1658568225945,346,Homepage-0,301,Moved Permanently,HomePAge 1-5,text,true,,347,118,20,20,http://www.flipkart.com/,345,0,0
1658568226291,5645,Homepage-1,200,OK,HomePAge 1-5,text,true,,368641,118,20,20,https://www.flipkart.com/,1098,0,0
1658568230216,1806,Cart,200,OK,HomePAge 1-19,text,true,,117956,326,20,20,https://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,919,0,0
1658568230216,919,Cart-0,301,Moved Permanently,HomePAge 1-19,text,true,,392,163,20,20,http://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,919,0,0
1658568231135,887,Cart-1,200,OK,HomePAge 1-19,text,true,,117564,163,20,20,https://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,728,0,0
1658568208456,23583,Homepage,200,OK,HomePAge 1-4,text,true,,370386,236,20,20,https://www.flipkart.com/,1401,0,0
1658568208456,1401,Homepage-0,301,Moved Permanently,HomePAge 1-4,text,true,,347,118,20,20,http://www.flipkart.com/,1401,0,0
1658568209857,22182,Homepage-1,200,OK,HomePAge 1-4,text,true,,370039,118,20,20,https://www.flipkart.com/,1890,0,0
1658568231136,1138,HTTP Request,200,OK,HomePAge 1-6,text,true,,10191,358,20,20,https://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,685,0,0
1658568231136,685,HTTP Request-0,301,Moved Permanently,HomePAge 1-6,text,true,,392,179,20,20,http://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,685,0,0
