timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1658568214423,3866,Homepage-1,200,OK,HomePAge 1-5,text,true,,373019,118,20,20,https://www.flipkart.com/,893,0,0
1658568217361,1487,HTTP Request,200,OK,HomePAge 1-20,text,true,,10191,358,20,20,https://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,850,0,0
1658568217361,850,HTTP Request-0,301,Moved Permanently,HomePAge 1-20,text,true,,392,179,20,20,http://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,850,0,0
1658568218211,637,HTTP Request-1,200,OK,HomePAge 1-20,text,true,,9799,179,20,20,https://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,637,0,0
1658568213797,5100,Homepage,200,OK,HomePAge 1-16,text,true,,355583,236,20,20,https://www.flipkart.com/,626,0,0
1658568213797,626,Homepage-0,301,Moved Permanently,HomePAge 1-16,text,true,,347,118,20,20,http://www.flipkart.com/,626,0,0
1658568214423,4474,Homepage-1,200,OK,HomePAge 1-16,text,true,,355236,118,20,20,https://www.flipkart.com/,1121,0,0
1658568217663,1399,Cart,200,OK,HomePAge 1-7,text,true,,111825,326,20,20,https://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,625,0,0
1658568217663,625,Cart-0,301,Moved Permanently,HomePAge 1-7,text,true,,392,163,20,20,http://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,625,0,0
1658568218288,774,Cart-1,200,OK,HomePAge 1-7,text,true,,111433,163,20,20,https://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,641,0,0
1658568217850,1246,HTTP Request,200,OK,HomePAge 1-15,text,true,,10191,358,20,20,https://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,664,0,0
1658568217850,664,HTTP Request-0,301,Moved Permanently,HomePAge 1-15,text,true,,392,179,20,20,http://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,664,0,0
1658568218515,581,HTTP Request-1,200,OK,HomePAge 1-15,text,true,,9799,179,20,20,https://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,574,0,0
1658568218289,2346,Cart,200,OK,HomePAge 1-5,text,true,,115098,326,20,20,https://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,607,0,0
1658568218289,607,Cart-0,301,Moved Permanently,HomePAge 1-5,text,true,,392,163,20,20,http://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,607,0,0
1658568218896,1739,Cart-1,200,OK,HomePAge 1-5,text,true,,114706,163,20,20,https://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,1480,0,0
1658568217604,3094,Cart,200,OK,HomePAge 1-17,text,true,,103081,326,20,20,https://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,684,0,0
1658568217604,684,Cart-0,301,Moved Permanently,HomePAge 1-17,text,true,,392,163,20,20,http://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,684,0,0
1658568218288,2410,Cart-1,200,OK,HomePAge 1-17,text,true,,102689,163,20,20,https://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,831,0,0
1658568217840,3147,Cart,200,OK,HomePAge 1-9,text,true,,111396,326,20,20,https://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,674,0,0
1658568217840,674,Cart-0,301,Moved Permanently,HomePAge 1-9,text,true,,392,163,20,20,http://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,674,0,0
1658568218515,2472,Cart-1,200,OK,HomePAge 1-9,text,true,,111004,163,20,20,https://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,843,0,0
1658568219062,2493,HTTP Request,200,OK,HomePAge 1-7,text,true,,10191,358,20,20,https://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,1289,0,0
1658568219062,1289,HTTP Request-0,301,Moved Permanently,HomePAge 1-7,text,true,,392,179,20,20,http://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,1289,0,0
1658568220352,1203,HTTP Request-1,200,OK,HomePAge 1-7,text,true,,9799,179,20,20,https://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,1203,0,0
1658568215636,7726,Homepage,200,OK,HomePAge 1-2,text,true,,362963,236,20,20,https://www.flipkart.com/,822,0,0
1658568215636,822,Homepage-0,301,Moved Permanently,HomePAge 1-2,text,true,,347,118,20,20,http://www.flipkart.com/,822,0,0
1658568216457,6905,Homepage-1,200,OK,HomePAge 1-2,text,true,,362616,118,20,20,https://www.flipkart.com/,1540,0,0
1658568191348,32668,Homepage,200,OK,HomePAge 1-13,text,true,,365786,236,20,20,https://www.flipkart.com/,1308,0,0
1658568191348,1308,Homepage-0,301,Moved Permanently,HomePAge 1-13,text,true,,347,118,20,20,http://www.flipkart.com/,1308,0,0
1658568192656,31360,Homepage-1,200,OK,HomePAge 1-13,text,true,,365439,118,20,20,https://www.flipkart.com/,1774,0,0
1658568220988,3662,HTTP Request,200,OK,HomePAge 1-9,text,true,,10191,358,20,20,https://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,1031,0,0
1658568220988,1031,HTTP Request-0,301,Moved Permanently,HomePAge 1-9,text,true,,392,179,20,20,http://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,1031,0,0
1658568222019,2631,HTTP Request-1,200,OK,HomePAge 1-9,text,true,,9799,179,20,20,https://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,2631,0,0
1658568215704,9359,Homepage,200,OK,HomePAge 1-12,text,true,,357358,236,20,20,https://www.flipkart.com/,787,0,0
1658568215704,787,Homepage-0,301,Moved Permanently,HomePAge 1-12,text,true,,347,118,20,20,http://www.flipkart.com/,787,0,0
1658568216490,8573,Homepage-1,200,OK,HomePAge 1-12,text,true,,357011,118,20,20,https://www.flipkart.com/,1607,0,0
1658568223363,2025,Cart,200,OK,HomePAge 1-2,text,true,,103810,326,20,20,https://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,1271,0,0
1658568223363,1271,Cart-0,301,Moved Permanently,HomePAge 1-2,text,true,,392,163,20,20,http://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,1271,0,0
1658568224635,753,Cart-1,200,OK,HomePAge 1-2,text,true,,103418,163,20,20,https://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,632,0,0
1658568217870,7596,Homepage,200,OK,HomePAge 1-8,text,true,,366637,236,20,20,https://www.flipkart.com/,644,0,0
1658568217870,644,Homepage-0,301,Moved Permanently,HomePAge 1-8,text,true,,347,118,20,20,http://www.flipkart.com/,644,0,0
1658568218515,6951,Homepage-1,200,OK,HomePAge 1-8,text,true,,366290,118,20,20,https://www.flipkart.com/,1627,0,0
1658568219096,6566,Homepage,200,OK,HomePAge 1-15,text,true,,367842,236,20,20,https://www.flipkart.com/,1561,0,0
1658568219096,1561,Homepage-0,301,Moved Permanently,HomePAge 1-15,text,true,,347,118,20,20,http://www.flipkart.com/,1561,0,0
1658568220657,5005,Homepage-1,200,OK,HomePAge 1-15,text,true,,367495,118,20,20,https://www.flipkart.com/,1367,0,0
1658568190983,34698,Homepage,200,OK,HomePAge 1-10,text,true,,371285,236,20,20,https://www.flipkart.com/,1067,0,0
1658568190983,1068,Homepage-0,301,Moved Permanently,HomePAge 1-10,text,true,,347,118,20,20,http://www.flipkart.com/,1067,0,0
1658568192050,33631,Homepage-1,200,OK,HomePAge 1-10,text,true,,370938,118,20,20,https://www.flipkart.com/,2220,0,0
